date,Production,Coal Consumption,Natural Gas,Electricity,Furnace Temperature,Furnace Pressure,Furnace Efficiency
2026-09-01,102.5,5100.0,2020.0,8100.0,805.0,2.1,83.0
2026-09-02,106.0,5250.0,2050.0,8220.0,810.0,2.2,83.5
2026-09-03,99.0,4980.0,1990.0,7950.0,798.0,2.0,82.0
2026-09-04,104.0,5150.0,2030.0,8150.0,808.0,2.1,84.0
2026-09-05,112.0,5500.0,2120.0,8550.0,822.0,2.3,85.0
2026-09-06,109.0,5380.0,2090.0,8420.0,816.0,2.2,83.8
2026-09-07,114.0,5550.0,2160.0,8700.0,828.0,2.4,85.5
2026-09-08,107.0,5280.0,2070.0,8280.0,814.0,2.2,83.2
2026-09-09,103.0,5080.0,2020.0,8080.0,804.0,2.1,82.5
2026-09-10,116.0,5650.0,2190.0,8850.0,832.0,2.4,85.2
